Country,First Name,Last Name,Wikipedia URL,Summary
ma,Hassan,None,https://ar.wikipedia.org/wiki/الحسن_الثاني_بن_محمد,الحَسَن الثاني بِنْ مُحمد بِنْ يوسف العَلوي(9 يوليو 1929 – 23 يوليو 1999)هو ثاني ملوكالمملكة المغربيةبعد الإستقلال، والملك الثاني والعشرون للمغرب منسلالة العلويين الفيلاليين، تولى حكم المملكة المغربية خلفًا لوالده الملكمحمد الخامسفي 26 فبراير 1961 وحتى وفاته في 23 يوليو 1999. ينتمي الملك الحسن الثاني إلى السلالة العلوية التي تعود في نسبها إلىالحسن بن علي بن أبي طالب، وتحكم المغرب منذ عام 1666 ميلادية ويلقب الحاكم منهم بأمير المؤمنين.
ma,Mohammed,None,https://ar.wikipedia.org/wiki/محمد_الخامس_بن_يوسف,محمد الخامسبنيوسفبنالحسنبنمحمدبنعبد الرحمنبنهشامبنمحمدبنعبد اللهبنإسماعيلبنالشريف بن عليالعلوي وُلد (1327 هـ/10 أغسطس1909مبالقصر السلطانيبفاس)وتوفي (1381 هـ/26 فبراير1961مبالرباط) خَلَف والده السلطانمولاي يوسفالذي توفي بُكرة يوم الخميس22 جمادى الأولىسنة1346 هـموافق17 نوفمبرسنة1927مفبويع ابنه سيدي محمد سلطانا للمغرب في اليوم الموالي بعد صلاة الجمعة23 جمادى الأولىسنة1346 هـموافق18 نوفمبرسنة1927مفي القصر السلطانيبفاسولم يزل سلطان المغرب إلى سنة1957م، قضى منها المنفى بين (1953-1955)، ثم اتخذ لقب الملك سنة1957مولم يزل ملكا إلى وفاته سنة1961م، ساند السلطانمحمد الخامسنضالاتالحركة الوطنية المغربيةالمطالبة بتحقيقالاستقلال، الشيء الذي دفعه إلى الاصطدامبسلطات الحماية. وكانت النتيجة قيام سلطات الحماية بنفيه إلىمدغشقر. وعلى إثر ذلك اندلعت مظاهرات مطالبة بعودته إلى وطنه. وأمام اشتداد حدة المظاهرات، قبلت السلطات الفرنسية بإرجاع السلطان إلى عرشه يوم16 نوفمبر1955. وبعد بضعة شهور تم إعلاناستقلالالمغرب. كان الملك محمد الخامس يكنى: أبا عبد الله.
ma,Mohammed,None,https://ar.wikipedia.org/wiki/القائم_بأمر_الله_السعدي,أبو عبد الله محمد بن محمد ابن علي بن مخلوف بن زيدانالملقببالقائم بأمر اللهعميدالأسرة السعديةوأول سلطان للمغرب من الأسرة السعدية، حكم بين 1509 - 1517.
us,George,Washington,https://en.wikipedia.org/wiki/George_Washington,"George Washington(February 22, 1732 [O.S.February 11, 1731][a]–December 14, 1799) was aFounding Fatherand the firstpresident of the United States, serving from 1789 to 1797. As commander of theContinental Army, Washington ledPatriotforces to victory in theAmerican Revolutionary Waragainst theBritish Empire. He is commonly known as theFather of the Nationfor his role in bringing aboutAmerican independence."
us,Barack,Obama,https://en.wikipedia.org/wiki/Barack_Obama,"Barack Hussein Obama II[a](born August 4, 1961) is an American politician who was the 44thpresident of the United Statesfrom 2009 to 2017. A member of theDemocratic Party, he was the firstAfrican Americanpresident inAmerican history. Obama previously served as aU.S. senatorrepresentingIllinoisfrom 2005 to 2008 and as anIllinois state senatorfrom 1997 to 2004."
us,Abraham,Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,"Abraham Lincoln[b](February 12, 1809 – April 15, 1865) was the 16thpresident of the United States, serving from 1861 untilhis assassinationin 1865. He led the United States through theAmerican Civil War, defeating theConfederate States of Americaand playing a major role in theabolition of slavery."
us,George,Bush,https://en.wikipedia.org/wiki/George_W._Bush,"George Walker Bush[a](born July 6, 1946) is an American politician and businessman who was the 43rdpresident of the United Statesfrom 2001 to 2009. A member of theBush familyand theRepublican Party, he is the eldest son of the 41st president,George H. W. Bush, and was the 46thgovernor of Texasfrom 1995 to 2000."
us,Bill,Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,"William Jefferson  Clinton(néBlythe III; born August 19, 1946) is an American politician and lawyer  who was the 42ndpresident of the United Statesfrom 1993 to 2001. A member of theDemocratic Party, he previously served as theattorney general of Arkansasfrom 1977 to 1979 and as thegovernor of Arkansasfrom 1979 to 1981, and again from 1983 to 1992. Clinton, whose policies reflected a centrist ""Third Way""political philosophy, became known as aNew Democrat."
us,Joe,Biden,https://en.wikipedia.org/wiki/Joe_Biden,"Joseph Robinette Biden Jr.[a](born November 20, 1942) is an American politician who was the 46thpresident of the United Statesfrom 2021 to 2025. A member of theDemocratic Party, he served as the 47thvice presidentfrom 2009 to 2017 and representedDelawarein theU.S. Senatefrom 1973 to 2009."
us,Franklin,Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,"Franklin Delano Roosevelt[a](January 30, 1882 – April 12, 1945), also known asFDR, was the 32ndpresident of the United States, serving from 1933 until his death in 1945. He is the longest-serving U.S. president, and the only one to have served more than two terms. Hisfirst two termswere centered on combating theGreat Depression, while histhird and fourthsaw him shift his focus to America's involvement inWorld War II."
us,Andrew,Johnson,https://en.wikipedia.org/wiki/Andrew_Johnson,"Andrew Johnson(December 29, 1808 – July 31, 1875) was the 17thpresident of the United States, serving from 1865 to 1869. The 16thvice president, he assumed the presidency followingthe assassinationofAbraham Lincoln. Johnson was aSouthern Democratwho ran with Lincoln on theNational Union Partyticket in the1864 presidential election, coming to office as theAmerican Civil Warconcluded. Johnson favored quick restoration of theseceded states to the Unionwithout protection for thenewly freed peoplewho were formerlyenslaved, as well aspardoning ex-Confederates. This led to conflict with theRepublican Party-dominatedU.S. Congress, culminating inhis impeachmentby theHouse of Representativesin 1868.He was acquittedin theSenateby one vote."
us,Gerald,Ford,https://en.wikipedia.org/wiki/Gerald_Ford,"Gerald Rudolph Ford Jr.(bornLeslie Lynch King Jr.; July 14, 1913 – December 26, 2006) was the 38thpresident of the United States, serving from 1974 to 1977. A member of theRepublican Party, Ford assumed the presidency after the resignation of PresidentRichard Nixon, under whom he had served as the 40thvice presidentfrom 1973 to 1974 followingSpiro Agnew's resignation. Prior to that, he served as a member of theU.S. House of Representativesfrom 1949 to 1973."
us,Richard,Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,"Richard Milhous Nixon(January 9, 1913 – April 22, 1994) was the 37thpresident of the United States, serving from 1969 untilhis resignationin 1974. A member of theRepublican Party, he previously served as the 36thvice presidentunder PresidentDwight D. Eisenhowerfrom 1953 to 1961, and also as arepresentativeandsenatorfromCalifornia.His presidencysaw the reduction of U.S. involvement in theVietnam War,détentewith theSoviet UnionandChina, theApollo 11Moon landing, and the establishment of theEnvironmental Protection AgencyandOccupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of theWatergate scandal."
ru,Vladimir,Putin,"https://ru.wikipedia.org/wiki/Путин,_Владимир_Владимирович","Влади́мир Влади́мирович Пу́тин(род.7 октября1952,Ленинград,СССР) —российскийгосударственныйиполитическийдеятель. Действующийпрезидент Российской Федерации, председательГосударственного Совета Российской ФедерациииСовета Безопасности Российской Федерации;Верховный главнокомандующий Вооружёнными силами Российской Федерациис 7 мая 2012 года. Ранее занимал должность президента с 7 мая 2000 по 7 мая 2008 года, также в 1999—2000 и 2008—2012 годах занимал должностьпредседателя правительства Российской Федерации. Фактически руководит Россией, согласно разным оценкам, с 1999или с 2000 года. В сентябре 2017 года Путин стал самым долго правящимроссийским лидеромпослеИосифа Сталина, а после окончанияпятого президентского срокастанет таковым со времёнЕкатерины II."
ru,Dmitry,Medvedev,"https://ru.wikipedia.org/wiki/Медведев,_Дмитрий_Анатольевич","Дми́трий Анато́льевич Медве́дев(род.14 сентября1965,Ленинград,СССР) —российскийгосударственный иполитический деятель. Первый заместитель председателя Военно-промышленной комиссии Российской Федерации с 26 декабря 2022 года. Заместитель председателяСовета Безопасности Российской Федерациис 16 января 2020 года. Председатель партии «Единая Россия» с 26 мая 2012 года.Президент Российской Федерации(7 мая 2008 — 7 мая 2012).Председатель Правительства Российской Федерации(8 мая 2012— 15 января 2020)."
ru,Boris,Yeltsin,"https://ru.wikipedia.org/wiki/Ельцин,_Борис_Николаевич","Бори́с Никола́евич Е́льцин(1 февраля1931(1931-02-01),Бутка,Буткинский район,Уральская область,РСФСР,СССР—23 апреля2007,Москва,Россия) —советскийироссийскийпартийный, государственный и политический деятель, первыйПрезидент Российской Федерации(1991—1999)➤; в ноябре 1991 — июне 1992 года одновременно возглавлялправительство России. С марта по май 1992 года исполнял обязанностиминистра обороны Российской Федерации."
